step,type,amount,sender_account_no,sender_balance_before,sender_balance_after,receiver_account_no,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,device_id,ip_address,geolocation_lat,geolocation_long,auth_method,row_source
8,TRANSFER,709511.69,C2055027956,59958.0,0.0,C388286025,0.0,570577.73,0,0,e4354021-392a-9fc4-647a-c5915da64a3a,188.220.75.35,20.789257,106.651005,SMART_OTP,paysim
8,CASH_OUT,1297.47,C4203060310,2162.44,864.98,C3407361076,342595.41,343501.26,0,0,a8cf4f62-90d9-170c-f2de-c75c90fcc9f1,189.188.124.241,12.232818,109.222079,FACE_ID,synthetic_activity
9,TRANSFER,1066808.41,C729186631,13360.0,0.0,C1352700528,11073.0,2271904.75,0,0,f3d36295-ee6b-cb89-8615-50f66b43db40,68.95.60.11,20.804032,106.660898,FACE_ID,paysim
10,CASH_OUT,287176.05,C714167899,263050.82,0.0,C399211008,902105.08,1189281.12,0,0,635a11f2-5c7a-f83d-ca9d-2704e860bcb1,163.213.71.214,10.044403,105.749896,SMART_OTP,paysim
10,PAYMENT,13971.29,C1542667322,0.0,0.0,M747444984,0.0,0.0,0,0,6257ae9c-8260-1132-c02f-b24f70100d7e,58.133.104.91,18.667102,105.653579,SMS_OTP,paysim
11,CASH_OUT,208013.77,C1855639708,0.0,0.0,C81829688,1530029.06,1864645.75,0,0,23936d45-e1cc-ff0d-8078-636d01b062c1,48.41.93.155,10.868499,106.664878,SMART_OTP,paysim
11,TRANSFER,894697.74,C813633808,0.0,0.0,C464345779,1022234.49,1916932.22,0,0,973e129c-35f0-b1be-7aa1-219a7a9398bb,166.214.106.6,20.819564,106.660222,SMS_OTP,paysim
11,TRANSFER,55641.95,C1273047168,236947.25,181305.3,C6917635946,0.0,60000.0,1,0,0a01d8b6-4ab6-3e0f-3cfb-c6428897c497,162.132.11.229,16.081875,108.22309,SMS_OTP,synthetic_activity
11,CASH_IN,33053.92,C3021549715,11669.92,44723.84,C3295157171,96197.33,129251.25,0,0,27035b27-958c-2936-b186-78ce4e40bfba,89.162.155.249,10.029293,105.69599,SMART_OTP,synthetic_activity
11,CASH_IN,41980.7,C1260026789,766382.42,808363.12,C5437008943,1973410.18,2015390.88,0,0,fe268e77-9b45-47e0-72fe-fdc23772aa97,75.172.18.65,16.105231,108.221115,SMS_OTP,synthetic_activity
12,PAYMENT,20311.55,C1022299134,0.0,0.0,M1107039694,0.0,0.0,0,0,119fb03e-9731-4c91-98b6-691b74169e82,97.99.34.28,20.998718,105.745877,SMART_OTP,paysim
12,TRANSFER,91852.6,C806945189,0.0,0.0,C1380903116,982967.21,1414303.51,0,0,811db4af-e8ca-7483-dc0e-337585d0691c,158.154.10.225,10.808838,106.648459,FACE_ID,paysim
12,TRANSFER,30400.26,C2226064412,62500.0,32099.74,C6152030604,0.0,28000.0,1,0,27035b27-958c-2936-b186-78ce4e40bfba,145.146.94.207,21.243413,105.981028,SMS_OTP,synthetic_activity
12,CASH_OUT,6900.0,C8992641070,11500.0,4600.0,C2013570947,2010743.51,2017643.51,0,0,c4c7aab4-ca20-508d-7b6c-7129cd638ba8,123.24.127.47,10.818127,106.667872,SMS_OTP,synthetic_activity
13,CASH_IN,70871.25,C1492104191,30449.0,101320.25,C1145759614,0.0,0.0,0,0,689d1205-8b31-f4d8-e073-c1d09929afeb,203.2.148.134,12.216219,109.24223,FACE_ID,paysim
13,CASH_OUT,269191.42,C1803946141,0.0,0.0,C1759095728,2625221.66,2894413.08,0,0,6d130705-279f-91ab-1b49-09b65cbdb682,19.110.63.117,18.728096,105.737446,SMS_OTP,paysim
13,CASH_OUT,124141.51,C1051112392,0.0,0.0,C1839635469,608258.13,732399.65,0,0,7bd7b4bf-8e0e-abb7-8f20-c5e75ec646eb,199.181.102.189,16.033079,108.159204,SMS_OTP,paysim
14,TRANSFER,327893.24,C601333964,59582.0,0.0,C826216712,12861.4,303415.9,0,0,72540ab7-3ad2-4ac8-bf70-c0421e7c6795,198.22.69.37,11.992632,108.469956,FACE_ID,paysim
14,CASH_IN,183857.55,C549420066,7622681.18,7806538.73,C19951052,711162.31,527304.75,0,0,bc731d47-8ad8-c568-1b39-0777caaa4685,95.21.156.10,11.904279,108.455651,SMART_OTP,paysim
14,CASH_OUT,335699.0,C18060993,21199.0,0.0,C1984408753,64846.47,400545.47,0,0,49560c36-8560-9e8a-a7fb-19979d2cd944,164.127.113.3,20.802542,106.634705,SMART_OTP,paysim
14,TRANSFER,1357670.98,C1855639708,0.0,0.0,C1929378659,0.0,0.0,1,0,23936d45-e1cc-ff0d-8078-636d01b062c1,12.27.140.76,10.763699,106.280847,SMS_OTP,synthetic_activity
14,CASH_OUT,22265.34,C1621152719,54199.73,31934.39,C8557035317,3781482.73,3803748.07,0,0,7c6166df-515a-6b43-3189-1f48e66e2c11,116.85.158.169,11.990603,108.48013,SMART_OTP,synthetic_activity
15,TRANSFER,1933468.14,C813633808,0.0,0.0,C1648633036,5467502.75,7400970.89,0,0,54899c37-cfa9-026b-6a24-1f463af7fa21,166.214.106.6,20.810943,106.742776,SMART_OTP,paysim
15,CASH_OUT,375499.68,C1031385483,0.0,0.0,C2007391437,1138884.63,1514384.31,0,0,ec5eac70-5c49-4d63-1e4c-3fdf556efce4,18.236.24.141,10.09247,105.758541,SMS_OTP,paysim
15,CASH_IN,201017.66,C591446839,1752990.07,1954007.73,C715624735,775614.99,574597.33,0,0,746b161a-31cc-6738-f68a-e9b79b3aa1d1,148.2.67.45,10.870174,106.652459,SMART_OTP,paysim
15,CASH_OUT,127831.86,C339505384,42065.0,0.0,C1519560817,7746392.44,7512962.31,0,0,1df44d3e-f26f-9b19-5708-013e4b541670,97.145.124.198,18.698408,105.732946,FACE_ID,paysim
15,TRANSFER,11355.64,C5529924944,11500.0,144.36,C7285340719,0.0,13000.0,1,0,2b2bf58c-6da5-8dad-f56a-abc050fb35b0,239.251.39.200,12.225872,109.222561,SMART_OTP,synthetic_activity
16,TRANSFER,164074.09,C784575706,4741.89,0.0,C2129418295,8682526.53,8846600.62,0,0,89207bc4-8439-9ed9-5a64-845ef49816ad,110.246.187.72,12.19636,109.174766,SMS_OTP,paysim
16,CASH_IN,104809.59,C1813195489,27201289.33,27306098.93,C235623919,4351092.63,4160438.61,0,0,79ff89d9-2db1-3deb-ee6f-fbea8df71647,69.47.243.192,20.841755,106.744742,SMART_OTP,paysim
16,CASH_OUT,112427.48,C1073716090,610.0,0.0,C844362938,456808.36,284377.38,0,0,bc45144a-3c1f-dff0-331d-58bbbcb3636d,52.214.64.215,12.224982,109.201921,SMART_OTP,paysim
16,PAYMENT,9901.35,C171930569,80602.92,70701.57,M139211798,0.0,0.0,0,0,eb91731a-1eb0-5b4a-1b4f-fd5fc7688339,174.245.170.127,21.031234,105.837191,SMART_OTP,paysim
16,CASH_OUT,199333.3,C1886366123,85897.0,0.0,C119077715,45115.74,244449.04,0,0,7b777e71-d917-38f8-0ad1-c18cf53f091e,223.71.126.47,16.011394,108.248071,SMART_OTP,paysim
16,CASH_OUT,226339.99,C1590283110,12346.0,0.0,C932967878,314985.31,541325.3,0,0,7a732f35-6c55-40f0-cc9c-f41c86969901,9.129.89.101,18.728363,105.664303,FACE_ID,paysim
16,TRANSFER,30053.96,C2972777054,4165.12,0.0,M302063414,0.0,35000.0,1,0,94a1eab0-b9c0-37aa-3289-f58b1923cafc,48.141.68.61,9.734106,105.492461,FACE_ID,synthetic_activity
17,TRANSFER,232987.14,C1378765159,0.0,0.0,C1338852367,769303.78,908130.04,0,0,35e574e0-6c87-8546-7faf-64582f14f777,219.103.72.116,16.031602,108.230168,SMART_OTP,paysim
17,CASH_OUT,147463.26,C643920495,8953.0,0.0,C613563505,465016.06,612479.32,0,0,287e09f1-ded7-945e-980b-82cbd66248bf,94.37.21.63,18.628248,105.689302,FACE_ID,paysim
17,TRANSFER,606015.28,C2012867778,0.0,0.0,C260808385,649363.78,1255379.06,0,0,226cbc6a-7fe5-a4b6-6be8-c7562d36226c,133.137.185.81,11.969773,108.481828,SMART_OTP,paysim
17,TRANSFER,1261683.26,C1376588103,0.0,0.0,C337340912,1555891.89,2817575.15,0,0,3728ddc2-0f5e-8b47-29d0-c613b0c77002,122.215.162.25,12.213412,109.154706,FACE_ID,paysim
17,CASH_IN,50588.33,C1088122439,61624.0,112212.33,C927977902,460148.21,385079.42,0,0,290c9e51-80d7-f805-2c6f-c084c04a3f68,214.109.175.243,20.889117,106.694499,FACE_ID,paysim
17,CASH_OUT,493306.87,C1897522053,75.0,0.0,C968449637,1438050.14,2122385.76,0,0,82ac7e1d-ac56-5da6-5339-1df45ae86d18,199.189.115.228,18.66984,105.639816,FACE_ID,paysim
17,TRANSFER,379613.58,C2108020763,0.0,0.0,C1463942959,9994429.5,10374043.08,0,0,2ae63af6-de46-222e-2514-c7cef4e35f7b,42.88.59.81,12.253285,109.162269,SMS_OTP,paysim
18,TRANSFER,469492.12,C374097252,0.0,0.0,C974127324,1031613.07,1501105.19,0,0,f0533851-dce0-e2bb-c7ed-ea0271e4dc42,192.151.134.248,21.065987,105.800212,SMART_OTP,paysim
18,TRANSFER,85152.95,C576171834,0.0,0.0,C1802632685,14212218.79,14297371.74,0,0,406bf02d-a97a-4f4e-3c10-871bba4f4b03,206.96.166.109,20.991368,105.757008,SMS_OTP,paysim
18,PAYMENT,9830.81,C812251686,7026.0,0.0,M1955020624,0.0,0.0,0,0,c3d6cd54-8623-bc74-65a2-9cc8c55be95d,73.42.139.28,10.770838,106.641653,SMART_OTP,paysim
18,TRANSFER,388738.34,C24957224,0.0,0.0,C1917728887,417813.4,806551.73,0,0,219b606d-205c-8491-a061-09db7172f636,215.44.8.9,10.01384,105.696205,SMART_OTP,paysim
18,CASH_IN,146056.86,C18060993,30409.0,176465.86,C1561583471,24301.0,0.0,0,0,0bb1b984-7bda-c670-ca4c-3b4dfc8ade6a,24.242.80.3,20.901665,106.718202,FACE_ID,paysim
18,PAYMENT,12546.2,C538429208,34295.0,21748.8,M1006956014,0.0,0.0,0,0,9740b212-2d52-45f4-8a0e-c018b29769b2,233.89.124.139,20.8267,106.643542,SMART_OTP,paysim
19,TRANSFER,31460.38,C940075559,124110.4,92650.01,C874226757,479270.39,510730.77,0,0,6986305a-5da3-f9cf-4ed0-730d711dc1dd,40.78.3.1,15.989842,108.241528,SMS_OTP,paysim
19,TRANSFER,207872.33,C538429208,0.0,0.0,C683724759,237586.9,661947.42,0,0,f2cffcae-f833-ebfb-2296-e3f171e15b9f,225.145.112.135,20.865885,106.63745,SMART_OTP,paysim
19,CASH_OUT,76705.59,C958635825,186697.0,109991.41,C1383887673,707835.75,784541.33,0,0,022111e5-88fc-3da1-781d-5b6c49694032,77.3.197.111,21.060259,105.763326,FACE_ID,paysim
19,CASH_IN,195047.66,C1897522053,0.0,195047.66,C8039432724,347188.59,347188.59,0,0,82ac7e1d-ac56-5da6-5339-1df45ae86d18,21.98.158.74,18.672698,105.636744,SMART_OTP,synthetic_activity
20,CASH_OUT,161673.38,C771046911,62443.53,0.0,C515578013,620745.49,1431971.87,0,0,3ff93134-650e-78e4-6fe6-33f18f807d8b,183.199.175.100,10.013693,105.805641,SMART_OTP,paysim
20,CASH_IN,18300.41,C1603015039,1683908.85,1702209.25,C1532352695,230846.67,234988.83,0,0,a40dfea5-bd64-987e-b652-ae9938b5e89a,112.71.216.93,18.620793,105.712958,SMS_OTP,paysim
20,CASH_OUT,111820.18,C1016949303,0.0,0.0,C778315976,413018.76,524838.93,0,0,9f6ccab4-b352-2c18-45aa-950373e88db6,48.249.27.73,10.022646,105.798087,SMS_OTP,paysim
20,PAYMENT,6775.46,C1753190063,90185.0,83409.54,M1265861519,0.0,0.0,0,0,2b2bf58c-6da5-8dad-f56a-abc050fb35b0,46.182.198.118,20.814953,106.684791,SMS_OTP,paysim
20,PAYMENT,9340.52,C50260643,0.0,0.0,M1682570657,0.0,0.0,0,0,cca99089-c925-4bb5-4fc3-7d4e6b950c1d,15.69.199.101,10.821591,106.613617,SMS_OTP,paysim
21,PAYMENT,6882.8,C1813195489,27306098.93,27299216.13,M141917983,206836.91,216110.64,0,0,79ff89d9-2db1-3deb-ee6f-fbea8df71647,69.47.243.192,20.828842,106.709864,SMART_OTP,synthetic_activity
22,CASH_IN,101844.98,C1003668831,6859812.41,6961657.39,C32876268,424579.62,322734.64,0,0,f97f4994-1f38-df55-033a-c4d6d4085391,251.165.15.190,10.857871,106.653969,SMART_OTP,paysim
23,CASH_IN,164145.28,C1088122439,112212.33,276357.61,C1581945785,21595.6,21595.6,0,0,e4dc4306-8b20-ce3e-42b7-c0488d3543be,139.121.168.199,20.88646,106.654766,FACE_ID,synthetic_activity
26,PAYMENT,39742.05,C1273047168,201087.21,161345.16,C3712085580,217063.41,256805.46,0,0,0a01d8b6-4ab6-3e0f-3cfb-c6428897c497,162.132.11.229,16.000094,108.167633,SMS_OTP,synthetic_activity
29,CASH_IN,29332.4,C1376588103,0.0,29332.4,C8218393630,0.0,29332.4,0,0,3728ddc2-0f5e-8b47-29d0-c613b0c77002,122.215.162.25,12.227182,109.143737,SMS_OTP,synthetic_activity
29,TRANSFER,33414.77,C1694745551,68178.87,34764.1,C3525032144,0.0,32000.0,1,0,27035b27-958c-2936-b186-78ce4e40bfba,145.146.94.207,21.081824,105.761462,SMS_OTP,synthetic_activity
29,CASH_OUT,1008.0,C6589139315,1680.0,672.0,C1826745100,0.0,450.31,0,0,03db7a2e-5313-50e0-6f25-37cea206527c,207.93.203.111,21.085427,105.76961,SMS_OTP,synthetic_activity
30,TRANSFER,236947.25,C1273047168,236947.25,0.0,C1636242484,0.0,0.0,1,0,4514c416-6c44-821e-af05-1764c234af07,46.22.37.18,18.938902,105.698345,SMART_OTP,paysim
32,PAYMENT,4300.74,C6589139315,7167.9,2867.16,C1592440461,0.0,0.0,0,0,3c6841d6-1ce8-e12f-f928-7d2637c0f87a,125.244.85.92,21.083604,105.779629,SMS_OTP,synthetic_activity
33,TRANSFER,775574.55,C1261747802,0.0,0.0,C1918179251,820174.65,1595749.2,0,0,54e14f3a-bba4-1ae0-adf8-f7672261ddef,176.159.87.239,21.010563,105.827148,SMART_OTP,paysim
33,TRANSFER,111043.65,C24957224,69127.26,0.0,C1704862259,224659.3,335702.95,0,0,32d4d3a5-98dd-6c3c-e4ce-b832c8776e4b,171.149.158.38,10.023848,105.804364,FACE_ID,paysim
33,TRANSFER,3295227.84,C1152596026,3295227.84,0.0,C1976114093,0.0,0.0,1,0,b38a3db1-2767-32d3-a502-dc4b5b0334d8,230.118.240.38,18.714042,105.701873,SMS_OTP,paysim
34,CASH_IN,217910.73,C840866897,4734162.28,4952073.0,C219543946,6272127.28,6054216.55,0,0,402da0fa-227d-cecc-b972-393a5bb0dd76,144.76.139.179,12.255115,109.21267,SMART_OTP,paysim
34,PAYMENT,4431.89,C1484488893,105768.0,101336.11,M1779024794,0.0,0.0,0,0,6b90a95b-300a-491a-faa1-d736bee6b06e,42.18.136.40,11.952113,108.423936,SMS_OTP,paysim
34,CASH_OUT,138153.99,C107159084,49379.0,0.0,C1456341426,41755.0,179908.99,0,0,10372a5c-b893-b08a-5219-02163d211daf,248.138.210.100,10.029431,105.729655,SMART_OTP,paysim
34,TRANSFER,37492.46,C591446839,1954007.73,1916515.27,C5723406159,0.0,36000.0,1,0,b30672dc-1fef-4fb0-de25-65fed1ad5c22,105.130.28.144,11.05273,106.578094,FACE_ID,synthetic_activity
34,CASH_OUT,10369173.79,C3495636065,655245.18,0.0,M141917983,0.0,10000000.0,1,0,6daa8c7e-7575-7602-2d02-223fed2532e5,142.153.42.139,21.139724,105.930197,SMART_OTP,synthetic_activity
34,PAYMENT,6247.68,C2972777054,10412.81,4165.12,C6597913239,3533405.35,3539653.03,0,0,ac9204b4-0306-a258-0227-b8d5b0701a53,93.157.221.67,9.995757,105.687971,FACE_ID,synthetic_activity
35,CASH_OUT,184890.42,C198684145,10801.0,0.0,C1826745100,379734.0,564624.42,0,0,1947ea42-310d-c9d1-7c41-3a2a1b67f7bb,147.165.215.100,18.699125,105.723205,SMS_OTP,paysim
36,TRANSFER,58586.77,C1342539758,293100.17,234513.4,C1514135626,781739.08,729694.42,0,0,ee224f70-0359-9c6d-1224-cbd2b7c4b3ee,168.126.238.228,10.865761,106.684066,SMART_OTP,paysim
36,CASH_OUT,190952.13,C1890208411,166463.0,0.0,C544666344,0.0,190952.13,0,0,e3f342a8-f030-bfd4-be54-898e8eda6433,15.211.158.69,20.968913,105.788957,SMS_OTP,paysim
36,CASH_IN,3464.31,C799978076,5668584.64,5672048.95,C1128735639,12927.65,386167.99,0,0,3b23feed-b9a4-de2b-19e9-e3a418dcceb6,169.64.146.161,11.960796,108.398499,FACE_ID,paysim
36,TRANSFER,134752.38,C1463235060,0.0,0.0,C1198441233,2317449.59,2452201.96,0,0,5fd90dfe-ca5e-df38-2743-9b5306b81c8a,203.47.141.103,12.219211,109.251099,FACE_ID,paysim
36,TRANSFER,31569.4,C1376588103,29332.4,0.0,C8768910248,0.0,28000.0,1,0,9dc3bbee-3152-3136-6430-5373f936a968,122.215.162.25,12.194464,109.212353,FACE_ID,synthetic_activity
36,PAYMENT,17103.09,C591446839,1940176.48,1923073.39,C2639303594,1541426.09,1541426.09,0,0,b30672dc-1fef-4fb0-de25-65fed1ad5c22,105.130.28.144,10.790716,106.655203,SMS_OTP,synthetic_activity
36,CASH_OUT,19160.63,C1621152719,31934.39,12773.76,C388286025,4820164.95,4839325.58,0,0,7c6166df-515a-6b43-3189-1f48e66e2c11,62.168.1.250,11.980481,108.417086,SMS_OTP,synthetic_activity
37,CASH_OUT,153282.69,C2012867778,32158.0,0.0,C1664413419,347300.41,500583.1,0,0,a0ff3498-02f4-298f-6ffa-d35606905ba5,133.137.185.81,11.883338,108.482909,FACE_ID,paysim
37,CASH_OUT,100096.48,C5529924944,217924.21,117827.73,C3525032144,2195980.03,2195980.03,0,0,bbf282a9-be09-f835-0679-65ab61e548ca,117.163.162.200,12.221975,109.164767,FACE_ID,synthetic_activity
38,CASH_OUT,447250.16,C805309308,0.0,0.0,C217045799,509770.98,957021.14,0,0,ff31950a-fdd0-84a1-8cd2-216f50adff63,163.111.212.186,12.271447,109.215111,SMS_OTP,paysim
38,CASH_OUT,73671.9,C1296501976,426114.0,352442.1,C1727512366,993782.25,1067454.14,0,0,f62ecf88-5c29-850b-410b-fc29be9cafcf,253.149.222.27,20.981312,105.855264,SMS_OTP,paysim
38,TRANSFER,235239.87,C1963422110,10904.0,0.0,C917144848,43330.21,278570.08,0,0,38cd9122-fc01-45e1-4ce2-afa201ae7eb1,211.71.236.142,18.628286,105.722355,FACE_ID,paysim
38,CASH_OUT,154868.31,C840866897,4952073.0,4797204.69,C1626596200,4820164.95,4975033.26,0,0,60b57717-b072-afc8-0577-610831662c94,144.76.139.179,12.228649,109.194382,SMART_OTP,synthetic_activity
38,CASH_OUT,149254.47,C1088122439,276357.61,127103.14,C5353451124,424579.62,424579.62,0,0,e4dc4306-8b20-ce3e-42b7-c0488d3543be,139.121.168.199,20.838105,106.647332,SMART_OTP,synthetic_activity
39,PAYMENT,11071.67,C353302670,22956.0,11884.33,M1144724157,0.0,0.0,0,0,5df924fb-43d6-43ed-236e-b83227f6a2ac,88.89.124.158,10.834999,106.570602,SMART_OTP,paysim
39,CASH_OUT,120407.68,C449931270,2504.0,0.0,C270509728,89123.29,209530.98,0,0,2c435667-7b87-4b4a-cafb-c4fe531f04af,153.165.77.10,11.944315,108.460159,FACE_ID,paysim
39,TRANSFER,103818.18,C1088122439,127103.14,23284.96,C544666344,415763.72,403921.08,0,0,e4dc4306-8b20-ce3e-42b7-c0488d3543be,139.121.168.199,20.800628,106.638013,SMART_OTP,synthetic_activity
39,CASH_OUT,6286.46,C1621152719,60486.19,54199.73,C1976114093,888584.14,888584.14,0,0,7c6166df-515a-6b43-3189-1f48e66e2c11,116.85.158.169,11.96497,108.476231,SMS_OTP,synthetic_activity
40,CASH_OUT,336318.02,C86903869,0.0,0.0,C604532730,401750.88,738068.9,0,0,c559cd0f-ebff-c53f-0e50-f355c7b611cd,107.239.223.31,20.894682,106.658011,SMS_OTP,paysim
40,CASH_IN,166617.3,C1295842255,1308111.02,1474728.32,C2014007662,1519975.19,1353357.89,0,0,863dfcd6-4e06-48d0-0ddb-545b61eaaa65,82.139.145.39,12.191347,109.231178,SMART_OTP,paysim
40,TRANSFER,229980.61,C1378765159,0.0,0.0,C966580840,4872597.97,5160315.17,0,0,5dad348e-57d5-2b78-9cf3-137ef562037b,219.103.72.116,16.039017,108.199539,SMART_OTP,paysim
40,CASH_IN,10789.13,C1073716090,0.0,10789.13,C442703595,383618.54,394407.67,0,0,34ef71df-43f1-9b58-df6c-0d603df76a69,52.214.64.215,12.230518,109.204057,SMS_OTP,synthetic_activity
41,TRANSFER,579234.38,C737636826,0.0,0.0,C347328787,1403713.72,2463919.76,0,0,0ceeddc2-2737-f345-3886-29ffb2a0f778,130.24.57.111,21.082972,105.774368,SMART_OTP,paysim
41,CASH_OUT,44956.3,C2057010675,0.0,0.0,C640672953,245745.41,290701.72,0,0,7b1dbca3-2286-e3f8-c314-96ea2160446e,189.135.64.63,10.80527,106.573593,SMS_OTP,paysim
41,CASH_OUT,156985.16,C1708251383,535.0,0.0,C2013570947,211744.38,196640.36,0,0,af4afcdd-52cb-1ae0-6e18-c9b3c6da85f1,106.109.94.90,16.012822,108.190599,SMS_OTP,paysim
41,CASH_OUT,133279.8,C647489213,0.0,0.0,C1598040187,3899422.96,4032702.76,0,0,cd840a47-fd7b-1279-d253-55159dc0a8b5,237.210.60.52,12.265016,109.161653,SMART_OTP,paysim
41,PAYMENT,22769.68,C1296501976,393.0,0.0,M1226880142,0.0,0.0,0,0,36c3fe85-8bae-295e-902a-405c3d9ffe59,186.9.252.73,21.002034,105.769461,SMS_OTP,paysim
41,TRANSFER,62067.38,C1553828262,0.0,0.0,C2051488007,865721.26,927788.64,0,0,15f7ef61-da4e-c04c-ba7e-1b86c1fad753,190.14.63.243,16.068856,108.198225,FACE_ID,paysim
41,TRANSFER,759990.21,C683822340,0.0,0.0,C1185567380,1812160.94,2572151.15,0,0,cde55848-b19c-905e-57e0-a1f103840661,85.54.190.138,20.789615,106.66093,SMS_OTP,paysim
41,CASH_IN,366022.27,C1779165885,65305.0,431327.27,C242347018,845468.23,479445.96,0,0,4237692a-c017-466e-85f4-c0a28be27516,124.160.187.37,21.03717,105.778204,SMART_OTP,paysim
41,CASH_IN,167665.13,C1073716090,10789.13,178454.26,M633755342,130119.25,130119.25,0,0,bc45144a-3c1f-dff0-331d-58bbbcb3636d,52.214.64.215,12.194727,109.252022,SMS_OTP,synthetic_activity
42,CASH_OUT,441667.34,C262183605,2532.0,0.0,C574428214,355459.84,797127.18,0,0,3360d115-48b5-1c88-0f63-5f4a2b9a118e,120.168.242.3,10.771334,106.581414,FACE_ID,paysim
42,TRANSFER,143024.97,C1852434822,0.0,0.0,C499996470,2211345.85,2354370.82,0,0,7caa281b-4e33-6644-c657-20ae5bd67d4d,142.28.45.166,11.946774,108.435581,SMART_OTP,paysim
43,CASH_IN,364856.04,C111150428,14016.0,378872.04,C1573991610,344143.05,0.0,0,0,fa033d6c-822f-b2f0-6175-a257fad3b44c,48.51.129.248,18.735058,105.63557,SMART_OTP,paysim
43,TRANSFER,161591.52,C1162384917,11358.92,0.0,C179294993,206836.91,431850.94,0,0,47d6723c-d77f-beeb-14fc-3a5d9b4bf377,3.36.27.83,12.282367,109.22291,SMS_OTP,paysim
43,CASH_OUT,183801.91,C958635825,21905.0,0.0,C1592440461,28813.36,212615.28,0,0,5e6ee398-cff1-b675-e6fb-976bb95f22d5,77.3.197.111,21.080093,105.848162,SMS_OTP,paysim
43,TRANSFER,41872.96,C1753190063,83409.54,41536.58,C737979678,0.0,0.0,0,0,2b2bf58c-6da5-8dad-f56a-abc050fb35b0,2.81.64.202,20.823519,106.70153,SMART_OTP,synthetic_activity
